iter	Logloss
0	0.5887231074
1	0.521371792
2	0.4847203374
3	0.4072119665
4	0.3718028018
5	0.3601964381
6	0.3423670905
7	0.3200532371
8	0.3071280704
9	0.2824410456
10	0.2606418337
11	0.2539766256
12	0.2364715735
13	0.2203994325
14	0.2140680385
15	0.1972479211
16	0.1920724792
17	0.1822087688
18	0.1756668674
19	0.1709781553
20	0.159997461
21	0.1527153299
22	0.1464567209
23	0.1419046274
24	0.1368226557
25	0.1287133061
26	0.1210809227
27	0.114344193
28	0.111797075
29	0.1083305987
30	0.1043053474
31	0.09866202874
32	0.09580454995
33	0.09266491318
34	0.08916883509
35	0.08706070184
36	0.08325101157
37	0.0798488828
38	0.07492733342
39	0.07327756709
40	0.07163449209
41	0.06873680309
42	0.06599522661
43	0.06249373975
44	0.05991563036
45	0.058468668
46	0.05665953754
47	0.0548305684
48	0.05209372597
49	0.04826312314
50	0.04801353604
51	0.04629506085
52	0.04394865877
53	0.04228591613
54	0.04037348048
55	0.03883397653
56	0.037085892
57	0.03558641288
58	0.03428693952
59	0.03311937198
60	0.03148621028
61	0.03061397077
62	0.02899365997
63	0.02889547437
64	0.02850259797
65	0.02723008796
66	0.02716130867
67	0.02614549816
68	0.02607601348
69	0.02446625638
70	0.02342294542
71	0.02257565235
72	0.02181514609
73	0.02145264826
74	0.02081629219
75	0.0204320135
76	0.01973341817
77	0.01919681401
78	0.01852715806
79	0.0180363114
80	0.01763607041
81	0.0170927565
82	0.01666215708
83	0.0162221541
84	0.01580288686
85	0.01544081253
86	0.01538556301
87	0.01494225295
88	0.01446461609
89	0.01418114869
90	0.01382505909
91	0.01364382527
92	0.01327059679
93	0.01321085173
94	0.01290469617
95	0.01279939724
96	0.0127405505
97	0.01253911526
98	0.01251302683
99	0.01227482094
100	0.01225429
101	0.01197282538
102	0.01186658947
103	0.01168878689
104	0.01159230818
105	0.01142775576
106	0.01131979657
107	0.01104296193
108	0.01100366937
109	0.01076944707
110	0.01063366355
111	0.01037325077
112	0.01024870437
113	0.01002363184
114	0.00993197926
115	0.009916885876
116	0.009885321091
117	0.009629192447
118	0.009467343268
119	0.009280603009
120	0.00912692602
121	0.00900242469
122	0.008917773552
123	0.008720091035
124	0.008719968304
125	0.008618624769
126	0.008495829014
127	0.008276770737
128	0.008265555735
129	0.008253328555
130	0.008043110085
131	0.007982619549
132	0.007887898499
133	0.007688862
134	0.007621145145
135	0.007502121479
136	0.007433600307
137	0.007425523693
138	0.007368216935
139	0.007261917809
140	0.007166288285
141	0.007077664844
142	0.006908648694
143	0.006866154396
144	0.006743174567
145	0.006643809556
146	0.006507264777
147	0.006455515498
148	0.006306565367
149	0.006168296207
150	0.006092391604
151	0.006030986271
152	0.005994287451
153	0.005938166402
154	0.005826774976
155	0.005771284661
156	0.005695058563
157	0.005689425636
158	0.00568930454
159	0.005633351075
160	0.005626473346
161	0.005569326121
162	0.005512833449
163	0.005455119835
164	0.005416618979
165	0.005343048953
166	0.005270100274
167	0.005231018574
168	0.005180754521
169	0.005180725993
170	0.00518057242
171	0.005129887234
172	0.00505843916
173	0.005058287517
174	0.004996040379
175	0.004946148724
176	0.004866740452
177	0.004769628459
178	0.004712598182
179	0.004712579551
180	0.004646698012
181	0.00458184857
182	0.004581762291
183	0.004544931627
184	0.004544892949
185	0.004491372188
186	0.00448706571
187	0.004431628388
188	0.004391516735
189	0.004355092765
190	0.004320599853
191	0.004290718272
192	0.004290408868
193	0.004217232361
194	0.004141994541
195	0.004100709546
196	0.004100666877
197	0.004100604664
198	0.00410060846
199	0.004098811872
200	0.004098594095
201	0.004050583212
202	0.004000180476
203	0.003999146431
204	0.003987467695
205	0.003954892043
206	0.003954767116
207	0.003919359397
208	0.003904649448
209	0.003904759056
210	0.003862381823
211	0.003862019375
212	0.003861902966
213	0.00386190283
214	0.00380020106
215	0.003799776893
216	0.003797882314
217	0.003778440808
218	0.003778356411
219	0.0037758006
220	0.003747256628
221	0.003701205867
222	0.003662325774
223	0.003662261243
224	0.003662253092
225	0.003662220242
226	0.003622100236
227	0.003622149989
228	0.003615288065
229	0.003615154734
230	0.003615089367
231	0.003615055014
232	0.003580074256
233	0.003531382522
234	0.003488173663
235	0.003488018859
236	0.003487974805
237	0.003462672781
238	0.003409863744
239	0.003409681035
240	0.003360336179
241	0.003360268149
242	0.003347240024
243	0.003347150197
244	0.003298329302
245	0.003294630026
246	0.003294597484
247	0.003265196503
248	0.003265237425
249	0.003265238797
250	0.003259408757
251	0.00324965521
252	0.003233018749
253	0.003232834529
254	0.003210149704
255	0.003210067677
256	0.003191458278
257	0.003159802623
258	0.003159753842
259	0.003141547375
260	0.003141656671
261	0.003141512844
262	0.003118183322
263	0.003118149801
264	0.003118069871
265	0.00307314212
266	0.003072892225
267	0.003022993456
268	0.003022757312
269	0.003020653928
270	0.003020125133
271	0.00301999683
272	0.003000434001
273	0.003000325973
274	0.003000417508
275	0.003000373474
276	0.003000452568
277	0.00300041687
278	0.002984464916
279	0.002984119922
280	0.002984091828
281	0.002983962663
282	0.002984085851
283	0.002983516555
284	0.002983417528
285	0.00296419039
286	0.002952591043
287	0.002921473644
288	0.002921555503
289	0.002921127549
290	0.002921127549
291	0.002921219158
292	0.002911732369
293	0.002905639405
294	0.002905630622
295	0.002905614086
296	0.002905578658
297	0.002904194771
298	0.00290423236
299	0.00289789055
300	0.002877944862
301	0.002843806407
302	0.002824667848
303	0.002824649174
304	0.002824290862
305	0.002824250205
306	0.002824289155
307	0.002824193332
308	0.002791252254
309	0.002791131445
310	0.002790211307
311	0.002790258329
312	0.002779294816
313	0.002779155614
314	0.002779110754
315	0.002779229854
316	0.002778997955
317	0.002779010341
318	0.002779011553
319	0.002778878278
320	0.002778429615
321	0.002778438756
322	0.002764541732
323	0.002764569472
324	0.002764266844
325	0.002752354324
326	0.002752294039
327	0.002742627302
328	0.002742734374
329	0.002737354106
330	0.002737318763
331	0.002737301388
332	0.002727157306
333	0.002707769946
334	0.002686262577
335	0.002686188429
336	0.002686227769
337	0.002686173105
338	0.002686289634
339	0.002686164738
340	0.002686119117
341	0.002686134624
342	0.002681645621
343	0.002662874366
344	0.002662784276
345	0.00266278623
346	0.002662640425
347	0.002659541174
348	0.002659558537
349	0.002659529738
350	0.002659557135
351	0.002631712443
352	0.002631642531
353	0.002631716665
354	0.002627024013
355	0.002626856307
356	0.002617844994
357	0.00261767651
358	0.002617799004
359	0.002617826456
360	0.002617581702
361	0.002617538587
362	0.002617644156
363	0.002617506183
364	0.002617389805
365	0.002617339991
366	0.002617153668
367	0.002598050486
368	0.002597916189
369	0.00259774958
370	0.002581629716
371	0.002581452439
372	0.002581390591
373	0.002565112407
374	0.002565003492
375	0.002549976283
376	0.002549827476
377	0.002549831748
378	0.002549835397
379	0.002549262727
380	0.002517590721
381	0.002517400731
382	0.002488827914
383	0.002487696137
384	0.002485291387
385	0.002485271875
386	0.00248544524
387	0.002485217696
388	0.00248511579
389	0.002484691773
390	0.002481924421
391	0.002481875674
392	0.002481983337
393	0.002481840263
394	0.002481516434
395	0.00248147715
396	0.002481411642
397	0.002455895056
398	0.00245607414
399	0.002455917407
400	0.002455819196
401	0.002455726946
402	0.002455707123
403	0.002451672851
404	0.002451595555
405	0.002451748483
406	0.002443521239
407	0.002443346213
408	0.002443422492
409	0.002443356907
410	0.002443309613
411	0.002443267935
412	0.00243882236
413	0.002438178179
414	0.002438328459
415	0.002438133545
416	0.002437600238
417	0.002437166038
418	0.002437142847
419	0.002437119846
420	0.002436664815
